# Dump Cloned {
Points:
99565.6015625 100767.476562 0
97969.8671875 100847.359375 0
97856.6328125 101045.023438 0
99326.3125 98599.6015625 0
97857.9375 100943.1875 0
99384.9609375 103945.960938 0
97797.7265625 100843.8125 0
99578.7109375 100648.726562 0
98222.2265625 100239.234375 0
98128.3125 100345.679688 0
99000.34375 99188.6484375 0
98307.2890625 100082.078125 0
98394.28125 100291.71875 0
99595.703125 102183.695312 0
97873.2265625 101167.21875 0
99084.1171875 99101.828125 0
98282.3203125 100525.570312 0
98062.890625 100476.890625 0
101991.109375 97360.3359375 0
98104.8671875 100613.640625 0
102174.945312 97555.203125 0
99558.5 95777.734375 0
97589.8203125 100871.3125 0
94959.34375 103899.726562 0
94877.7109375 103986.960938 0
103224.40625 104776.78125 0
94745.8828125 104085.90625 0
103170.710938 104589.320312 0
103317.710938 104820.296875 0
95006.578125 103681.1875 0
98012.2109375 100270.015625 0
94783.28125 103943.109375 0
98407.6171875 100017.632812 0
98026.5078125 100727.59375 0
97687.1796875 100844.59375 0
103113.695312 104481.460938 0
102923.257812 104299.859375 0
94890.3828125 103685.726562 0
94811.90625 103653.6875 0
96522.421875 101747.828125 0
102358.375 97346.8828125 0
96507.125 101618.585938 0
93474.109375 104891.375 0
96451.484375 101514.546875 0
96452.7265625 101413.796875 0
96450.1953125 101312.140625 0
99567.6796875 100498.367188 0
93345.6953125 104876.007812 0
96292.21875 101266.5 0
96264.3828125 101147.28125 0
98198.640625 100114.664062 0
96273.5 101000.6875 0
99770.921875 102283.28125 0
96269.734375 100876.96875 0
99585.8359375 100373.640625 0
96277.15625 100726.210938 0
96261.765625 100679.703125 0
96288.3359375 100548.96875 0
96265.46875 100401.460938 0
99686.0390625 100144.023438 0
96285.4453125 100262.8125 0
96277.3046875 100217.539062 0
99119 98222.921875 0
99596.65625 100224.304688 0
96264.9140625 100103.625 0
99271.8828125 103906.921875 0
96268.546875 99983.828125 0
96251.5390625 99881.71875 0
96245.34375 99765.34375 0
96245.046875 99721.21875 0
96250.875 99584.6796875 0
99592.5859375 102840.8125 0
96167.0703125 99522.59375 0
99640.4765625 102657.5625 0
96037.046875 99506.4453125 0
95740.125 99501.96875 0
92369.2734375 99866.6484375 0
95574.8828125 99511.453125 0
93206.75 99659.5859375 0
99732.78125 99972.6328125 0
92480.265625 99687.59375 0
92712.859375 99593 0
99557.8125 100115.828125 0
92584.34375 99622.328125 0
92957.765625 99521.453125 0
92683.5546875 99467.96875 0
92965.1328125 99702.7578125 0
92521.9140625 99369.1015625 0
92309.0234375 99302.453125 0
92586.0234375 99228.4453125 0
92644.5703125 99153.8828125 0
95930.828125 99527.0078125 0
93086.3046875 99712.2421875 0
92750.6015625 99016.25 0
92312.7109375 99440.2265625 0
92458.3125 99285.265625 0
92720.9296875 98845.53125 0
92664.2890625 98695.5625 0
92489.5703125 99585 0
102473.53125 101840.53125 0
99565.2578125 100005.367188 0
99174.7421875 103932.515625 0
99784.5390625 99875.21875 0
92787.484375 99460.5859375 0
99611.7421875 99909.3671875 0
99599.5859375 99899.0234375 0
99073.0546875 103918.523438 0
98937.6171875 103912.382812 0
98796.5859375 103934.070312 0
98478.7265625 104214.929688 0
98702.1796875 103976.664062 0
98365.21875 104229.484375 0
98113.6015625 104442.351562 0
105153.757812 103803.039062 0
105160.445312 103861.210938 0
98270.7421875 104273.914062 0
105153.492188 103686.789062 0
106611.289062 105604.101562 0
98001.3125 104446.4375 0
